 L  L'   F   D  Om  Lm  Lv  Le  LM  Lj  Ls  Lu  Ln  Pa    PS       PC        ES       EC
 0   0  -1   1   0   0   0   1   0   1   0   0   0   0  -0.0021  -0.0078    0.0000   0.0000
 0   0   0   0   1   0   0   0   0   1   0   0   0   0   0.0020  -0.0070   -0.0037  -0.0011
 0   0   1  -1   2   0   0  -1   0   1   0   0   0   0   0.0000   0.0006    0.0003   0.0000
 0   0   1  -1   1   0   0  -1   0  -2   4   0   0   0   0.0005   0.0003    0.0002  -0.0002
 2   0   0  -2   1   0  -6   8   0   0   0   0   0   0  -0.0017  -0.0004   -0.0002   0.0009
 0   0  -2   2   1   0   5  -6   0   0   0   0   0   0   0.0000   0.0006    0.0003   0.0000
 0   0   0   0   0   0   0   0   0   0  -1   0   0   1   0.0032   0.0015   -0.0008   0.0017
 0   0   1  -1   1   0   0  -1   0   0  -1   0   0   0   0.0174   0.0084    0.0045  -0.0093
 0   0   0   0   0   0   0   0   0   0   1   0   0   0   0.0011   0.0056    0.0000   0.0000
 0   0   1  -1   1   0   0  -1   0   0   1   0   0   0  -0.0066  -0.0012   -0.0006   0.0035
 0   0   0   0   0   0   0   0   0   0   1   0   0   1   0.0047   0.0008    0.0004  -0.0025
 0   0   0   0   0   0   0   0   0   0   1   0   0   2   0.0000   0.0008    0.0004   0.0000
 0   0   2  -2   1   0   0  -9  13   0   0   0   0   0   0.0010  -0.0022   -0.0012  -0.0005
 0   0   0   0   1   0   0   7 -13   0   0   0   0   0  -0.0003   0.0000    0.0000   0.0002
-2   0   0   2   0   0   0   5  -6   0   0   0   0   0  -0.0024   0.0012    0.0000   0.0000
 0   0   0   0   0   0   0   9 -17   0   0   0   0   0   0.0005  -0.0006    0.0000   0.0000
 0   0   0   0   0   0   0  -9  17   0   0   0   0   2   0.0003   0.0000    0.0000  -0.0002
 1   0   0  -1   1   0   0  -3   4   0   0   0   0   0   0.0004   0.0003    0.0001  -0.0002
 1   0   0  -1   1   0  -3   4   0   0   0   0   0   0   0.0000   0.0029    0.0015   0.0000
 0   0   0   0   2   0   0  -1   2   0   0   0   0   0  -0.0005  -0.0004   -0.0002   0.0002
 0   0  -1   1   1   0   0   0   2   0   0   0   0   0   0.0008  -0.0003   -0.0001  -0.0005
 0   0  -2   2   0   1   0  -2   0   0   0   0   0   0   0.0000  -0.0003    0.0000   0.0000
 0   0   0   0   0   0   3  -5   0   2   0   0   0   0   0.0010   0.0000    0.0000   0.0000
-2   0   0   2   1   0   0   2   0  -3   1   0   0   0   0.0003   0.0000    0.0000  -0.0002
-2   0   0   2   1   0   3  -3   0   0   0   0   0   0  -0.0005   0.0000    0.0000   0.0003
 0   0   0   0   1   0   8 -13   0   0   0   0   0   0   0.0046   0.0066    0.0035  -0.0025
 0   0  -1   1   0   0   8 -12   0   0   0   0   0   0  -0.0014   0.0007    0.0000   0.0000
 0   0   2  -2   1   0  -8  11   0   0   0   0   0   0   0.0000   0.0003    0.0002   0.0000
-1   0   0   1   0   0   0   2  -2   0   0   0   0   0  -0.0005   0.0000    0.0000   0.0000
-1   0   0   0   1   0  18 -16   0   0   0   0   0   0  -0.0068  -0.0034   -0.0018   0.0036
 0   0   1  -1   1   0   0  -1   0  -1   1   0   0   0   0.0000   0.0014    0.0007   0.0000
 0   0   0   0   1   0   3  -7   4   0   0   0   0   0   0.0010  -0.0006   -0.0003  -0.0005
-2   0   1   1   1   0   0  -3   7   0   0   0   0   0  -0.0005  -0.0004   -0.0002   0.0003
 0   0   1  -1   2   0   0  -1   0  -2   5   0   0   0  -0.0003   0.0005    0.0002   0.0001
 0   0   0   0   1   0   0   0   0  -2   5   0   0   0   0.0076   0.0017    0.0009  -0.0041
 0   0   0   0   1   0   0  -4   8  -3   0   0   0   0   0.0084   0.0298    0.0159  -0.0045
 1   0   0   0   1   0 -10   3   0   0   0   0   0   0   0.0003   0.0000    0.0000  -0.0001
 0   0   2  -2   1   0   0  -2   0   0   0   0   0   0  -0.0003   0.0000    0.0000   0.0002
-1   0   0   0   1   0  10  -3   0   0   0   0   0   0  -0.0003   0.0000    0.0000   0.0001
 0   0   0   0   1   0   0   4  -8   3   0   0   0   0  -0.0082   0.0292    0.0156   0.0044
 0   0   0   0   1   0   0   0   0   2  -5   0   0   0  -0.0073   0.0017    0.0009   0.0039
 0   0  -1   1   0   0   0   1   0   2  -5   0   0   0  -0.0009  -0.0016    0.0000   0.0000
 2   0  -1  -1   1   0   0   3  -7   0   0   0   0   0   0.0003   0.0000   -0.0001  -0.0002
-2   0   0   2   0   0   0   2   0   0  -5   0   0   0  -0.0003   0.0000    0.0000   0.0000
 0   0   0   0   1   0  -3   7  -4   0   0   0   0   0  -0.0009  -0.0005   -0.0003   0.0005
-2   0   0   2   0   0   0   2   0  -2   0   0   0   0  -0.0439   0.0000    0.0000   0.0000
 1   0   0   0   1   0 -18  16   0   0   0   0   0   0   0.0057  -0.0028   -0.0015  -0.0030
-2   0   1   1   1   0   0   1   0  -2   0   0   0   0   0.0000  -0.0006   -0.0003   0.0000
 0   0   1  -1   2   0  -8  12   0   0   0   0   0   0  -0.0004   0.0000    0.0000   0.0002
 0   0   0   0   1   0  -8  13   0   0   0   0   0   0  -0.0040   0.0057    0.0030   0.0021
 0   0   0   0   0   0   0   1  -2   0   0   0   0   1   0.0023   0.0007    0.0003  -0.0013
 0   0   1  -1   1   0   0   0  -2   0   0   0   0   0   0.0273   0.0080    0.0043  -0.0146
 0   0   0   0   0   0   0   1  -2   0   0   0   0   0  -0.0449   0.0430    0.0000   0.0000
 0   0   1  -1   1   0   0  -2   2   0   0   0   0   0  -0.0008  -0.0047   -0.0025   0.0004
 0   0   0   0   0   0   0  -1   2   0   0   0   0   1   0.0006   0.0047    0.0025  -0.0003
-1   0   0   1   1   0   3  -4   0   0   0   0   0   0   0.0000   0.0023    0.0013   0.0000
-1   0   0   1   1   0   0   3  -4   0   0   0   0   0  -0.0003   0.0000    0.0000   0.0002
 0   0   1  -1   1   0   0  -1   0   0  -2   0   0   0   0.0003  -0.0004   -0.0002  -0.0002
 0   0   1  -1   1   0   0  -1   0   0   2   0   0   0  -0.0048  -0.0110   -0.0059   0.0026
 0   0   0   0   0   0   0   0   0   0   2   0   0   1   0.0051   0.0114    0.0061  -0.0027
 0   0   0   0   0   0   0   0   0   0   2   0   0   2  -0.0133   0.0000    0.0000   0.0057
 0   0   1  -1   0   0   3  -6   0   0   0   0   0   0   0.0000   0.0004    0.0000   0.0000
 0   0   0   0   1   0  -3   5   0   0   0   0   0   0  -0.0021  -0.0006   -0.0003   0.0011
 0   0   1  -1   2   0  -3   4   0   0   0   0   0   0   0.0000  -0.0003   -0.0001   0.0000
 0   0   0   0   1   0   0  -2   4   0   0   0   0   0  -0.0011  -0.0021   -0.0011   0.0006
 0   0   2  -2   1   0  -5   6   0   0   0   0   0   0  -0.0018  -0.0436   -0.0233   0.0009
 0   0  -1   1   0   0   5  -7   0   0   0   0   0   0   0.0035  -0.0007    0.0000   0.0000
 0   0   0   0   1   0   5  -8   0   0   0   0   0   0   0.0000   0.0005    0.0003   0.0000
-2   0   0   2   1   0   6  -8   0   0   0   0   0   0   0.0011  -0.0003   -0.0001  -0.0006
 0   0   0   0   1   0   0  -8  15   0   0   0   0   0  -0.0005  -0.0003   -0.0001   0.0003
-2   0   0   2   1   0   0   2   0  -3   0   0   0   0  -0.0053  -0.0009   -0.0005   0.0028
-2   0   0   2   1   0   0   6  -8   0   0   0   0   0   0.0000   0.0003    0.0002   0.0001
 1   0   0  -1   1   0   0  -1   0   1   0   0   0   0   0.0004   0.0000    0.0000  -0.0002
 0   0   0   0   0   0   0   0   0   3  -5   0   0   0   0.0000  -0.0004    0.0000   0.0000
 0   0   1  -1   1   0   0  -1   0  -1   0   0   0   0  -0.0050   0.0194    0.0103   0.0027
 0   0   0   0   0   0   0   0   0  -1   0   0   0   1  -0.0013   0.0052    0.0028   0.0007
 0   0   0   0   0   0   0   0   0   1   0   0   0   0  -0.0091   0.0248    0.0000   0.0000
 0   0   0   0   0   0   0   0   0   1   0   0   0   1   0.0006   0.0049    0.0026  -0.0003
 0   0   1  -1   1   0   0  -1   0   1   0   0   0   0  -0.0006  -0.0047   -0.0025   0.0003
 0   0   0   0   0   0   0   0   0   1   0   0   0   1   0.0000   0.0005    0.0003   0.0000
 0   0   0   0   0   0   0   0   0   1   0   0   0   2   0.0052   0.0023    0.0010  -0.0023
 0   0   1  -1   2   0   0  -1   0   0  -1   0   0   0  -0.0003   0.0000    0.0000   0.0001
 0   0   0   0   1   0   0   0   0   0  -1   0   0   0   0.0000   0.0005    0.0003   0.0000
 0   0  -1   1   0   0   0   1   0   0  -1   0   0   0  -0.0004   0.0000    0.0000   0.0000
 0   0   0   0   0   0   0  -7  13   0   0   0   0   2  -0.0004   0.0008    0.0003   0.0002
 0   0   0   0   0   0   0   7 -13   0   0   0   0   0   0.0010   0.0000    0.0000   0.0000
 2   0   0  -2   1   0   0  -5   6   0   0   0   0   0   0.0003   0.0000    0.0000  -0.0002
 0   0   2  -2   1   0   0  -8  11   0   0   0   0   0   0.0000   0.0008    0.0004   0.0000
 0   0   2  -2   1  -1   0   2   0   0   0   0   0   0   0.0000   0.0008    0.0004   0.0001
-2   0   0   2   0   0   0   4  -4   0   0   0   0   0  -0.0004   0.0000    0.0000   0.0000
 0   0   0   0   0   0   0   0   0   2  -2   0   0   0  -0.0004   0.0000    0.0000   0.0000
 0   0   1  -1   1   0   0  -1   0   0   3   0   0   0  -0.0008   0.0004    0.0002   0.0004
 0   0   0   0   0   0   0   0   0   0   3   0   0   1   0.0008  -0.0004   -0.0002  -0.0004
 0   0   0   0   0   0   0   0   0   0   3   0   0   2   0.0000   0.0015    0.0007   0.0000
-2   0   0   2   0   0   3  -3   0   0   0   0   0   0  -0.0138   0.0000    0.0000   0.0000
 0   0   0   0   2   0   0  -4   8  -3   0   0   0   0   0.0000  -0.0007   -0.0003   0.0000
 0   0   0   0   2   0   0   4  -8   3   0   0   0   0   0.0000  -0.0007   -0.0003   0.0000
 2   0   0  -2   1   0   0  -2   0   2   0   0   0   0   0.0054   0.0000    0.0000  -0.0029
 0   0   1  -1   2   0   0  -1   0   2   0   0   0   0   0.0000   0.0010    0.0004   0.0000
 0   0   1  -1   2   0   0   0  -2   0   0   0   0   0  -0.0007   0.0000    0.0000   0.0003
 0   0   0   0   1   0   0   1  -2   0   0   0   0   0  -0.0037   0.0035    0.0019   0.0020
 0   0  -1   1   0   0   0   2  -2   0   0   0   0   0   0.0000   0.0004    0.0000   0.0000
 0   0  -1   1   0   0   0   1   0   0  -2   0   0   0  -0.0004   0.0009    0.0000   0.0000
 0   0   2  -2   1   0   0  -2   0   0   2   0   0   0   0.0008   0.0000    0.0000  -0.0004
 0   0   1  -1   1   0   3  -6   0   0   0   0   0   0  -0.0009  -0.0014   -0.0008   0.0005
 0   0   0   0   0   0   3  -5   0   0   0   0   0   1  -0.0003  -0.0009   -0.0005   0.0003
 0   0   0   0   0   0   3  -5   0   0   0   0   0   0  -0.0145   0.0047    0.0000   0.0000
 0   0   1  -1   1   0  -3   4   0   0   0   0   0   0  -0.0010   0.0040    0.0021   0.0005
 0   0   0   0   0   0  -3   5   0   0   0   0   0   1   0.0011  -0.0049   -0.0026  -0.0007
 0   0   0   0   0   0  -3   5   0   0   0   0   0   2  -0.2150   0.0000    0.0000   0.0932
 0   0   2  -2   2   0  -3   3   0   0   0   0   0   0  -0.0012   0.0000    0.0000   0.0005
 0   0   0   0   0   0  -3   5   0   0   0   0   0   2   0.0085   0.0000    0.0000  -0.0037
 0   0   0   0   0   0   0   2  -4   0   0   0   0   1   0.0004   0.0000    0.0000  -0.0002
 0   0   1  -1   1   0   0   1  -4   0   0   0   0   0   0.0003   0.0000    0.0000  -0.0002
 0   0   0   0   0   0   0   2  -4   0   0   0   0   0  -0.0086   0.0153    0.0000   0.0000
 0   0   0   0   0   0   0  -2   4   0   0   0   0   1  -0.0006   0.0009    0.0005   0.0003
 0   0   1  -1   1   0   0  -3   4   0   0   0   0   0   0.0009  -0.0013   -0.0007  -0.0005
 0   0   0   0   0   0   0  -2   4   0   0   0   0   1  -0.0008   0.0012    0.0006   0.0004
 0   0   0   0   0   0   0  -2   4   0   0   0   0   2  -0.0051   0.0000    0.0000   0.0022
 0   0   0   0   0   0  -5   8   0   0   0   0   0   2  -0.0011  -0.0268   -0.0116   0.0005
 0   0   2  -2   2   0  -5   6   0   0   0   0   0   0   0.0000   0.0012    0.0005   0.0000
 0   0   0   0   0   0  -5   8   0   0   0   0   0   2   0.0000   0.0007    0.0003   0.0000
 0   0   0   0   0   0  -5   8   0   0   0   0   0   1   0.0031   0.0006    0.0003  -0.0017
 0   0   1  -1   1   0  -5   7   0   0   0   0   0   0   0.0140   0.0027    0.0014  -0.0075
 0   0   0   0   0   0  -5   8   0   0   0   0   0   1   0.0057   0.0011    0.0006  -0.0030
 0   0   0   0   0   0   5  -8   0   0   0   0   0   0  -0.0014  -0.0039    0.0000   0.0000
 0   0   1  -1   2   0   0  -1   0  -1   0   0   0   0   0.0000  -0.0006   -0.0002   0.0000
 0   0   0   0   1   0   0   0   0  -1   0   0   0   0   0.0004   0.0015    0.0008  -0.0002
 0   0  -1   1   0   0   0   1   0  -1   0   0   0   0   0.0000   0.0004    0.0000   0.0000
 0   0   2  -2   1   0   0  -2   0   1   0   0   0   0  -0.0003   0.0000    0.0000   0.0001
 0   0   0   0   0   0   0  -6  11   0   0   0   0   2   0.0000   0.0011    0.0005   0.0000
 0   0   0   0   0   0   0   6 -11   0   0   0   0   0   0.0009   0.0006    0.0000   0.0000
 0   0   0   0   0  -1   0   4   0   0   0   0   0   2  -0.0004   0.0010    0.0004   0.0002
